task_dir,status,object_point_count,part_point_count,part_ratio,cache_path,object_points_path,part_points_path,total_sec,error
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_bottle_on_the_table.__plug_right/20240824-224716_no_interaction,success,4096,57,0.0139,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_bottle_on_the_table.__plug_right/20240824-224716_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_bottle_on_the_table.__plug_right/20240824-224716_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_bottle_on_the_table.__plug_right/20240824-224716_no_interaction/output/stage4/part_points.npz,0.48,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_cup_on_the_table.__plug_right/20240824-173615_no_interaction,success,4096,2207,0.5388,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_cup_on_the_table.__plug_right/20240824-173615_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_cup_on_the_table.__plug_right/20240824-173615_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_cup_on_the_table.__plug_right/20240824-173615_no_interaction/output/stage4/part_points.npz,0.35,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-164221_no_interaction,success,4096,4096,1.0,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-164221_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-164221_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-164221_no_interaction/output/stage4/part_points.npz,0.4,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-170600_no_interaction,success,4096,2227,0.5437,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-170600_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-170600_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_lighter_on_the_table.__plug_right/20240824-170600_no_interaction/output/stage4/part_points.npz,0.39,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_pen_on_the_table.__plug_right/20240824-194954_no_interaction,success,4096,4096,1.0,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_pen_on_the_table.__plug_right/20240824-194954_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_pen_on_the_table.__plug_right/20240824-194954_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_pen_on_the_table.__plug_right/20240824-194954_no_interaction/output/stage4/part_points.npz,0.36,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_shoe_on_the_table.__plug_right/20240824-225300_no_interaction,success,4096,4096,1.0,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_shoe_on_the_table.__plug_right/20240824-225300_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_shoe_on_the_table.__plug_right/20240824-225300_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_USB_behind_the_shoe_on_the_table.__plug_right/20240824-225300_no_interaction/output/stage4/part_points.npz,0.44,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_bottle_on_the_table.__upright/20240824-165044_no_interaction,success,4096,98,0.0239,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_bottle_on_the_table.__upright/20240824-165044_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_bottle_on_the_table.__upright/20240824-165044_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_bottle_on_the_table.__upright/20240824-165044_no_interaction/output/stage4/part_points.npz,0.4,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_hammer_on_the_table.__upright/20240824-185940_no_interaction,success,4096,0,0.0,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_hammer_on_the_table.__upright/20240824-185940_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_hammer_on_the_table.__upright/20240824-185940_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_hammer_on_the_table.__upright/20240824-185940_no_interaction/output/stage4/part_points.npz,0.39,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_mug_on_the_table.__upright/20240824-171807_no_interaction,success,4096,0,0.0,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_mug_on_the_table.__upright/20240824-171807_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_mug_on_the_table.__upright/20240824-171807_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_mug_on_the_table.__upright/20240824-171807_no_interaction/output/stage4/part_points.npz,0.39,
/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_orange_on_the_table.__upright/20240824-194235_no_interaction,success,4096,211,0.0515,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_orange_on_the_table.__upright/20240824-194235_no_interaction/output/stage4/point_data_cache.json,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_orange_on_the_table.__upright/20240824-194235_no_interaction/output/stage4/object_points.npz,/data/coding/SoFar/datasets/open6dor_v2/open6dor_v2/task_refine_6dof/behind/Place_the_apple_behind_the_orange_on_the_table.__upright/20240824-194235_no_interaction/output/stage4/part_points.npz,0.33,
